名稱,種族,體力,力量,防禦,速度,魔法,技格,總檔,屬性,技能,image,任務用途,新聞來源
墮落天使,飛行系,35,39,19,24,8,,125,水10,攻擊、防禦,,,mlbb_news_15414.txt
珊瑚海葵,植物系,28,33,21,27,14,,123,火6風4,攻擊、防禦,,,mlbb_news_15414.txt
青藻海帶,植物系,27,10,16,27,43,,123,風3地7,攻擊、防禦,,,mlbb_news_15414.txt
地獄殺人螳螂,不死系,31,45,11,30,8,,125,水1火9,攻擊、防禦,,,mlbb_news_15414.txt
深海巨鯊,飛行系,31,50,11,27,6,,125,水10,攻擊、防禦,,,mlbb_news_15414.txt
深海狼蛛,昆蟲系,34,6,18,17,50,,125,水10,攻擊、防禦,,,mlbb_news_15414.txt
黃銅豚魚,金屬系,33,34,31,17,10,,125,火1風9,攻擊、防禦,,,mlbb_news_15414.txt
深海龍王,飛行系,45,45,4,27,4,,125,水10,攻擊、防禦,,,mlbb_news_15554.txt
衝浪小黃鴨,飛行系,28,46,23,20,8,,125,風10,攻擊、防禦,,,mlbb_news_15554.txt
深海鳥魔,飛行系,30,7,13,27,48,,125,水10,攻擊、防禦,,,mlbb_news_15554.txt
乘浪企鵝,飛行系,32,37,19,25,10,,123,地3水7,攻擊、防禦,,,mlbb_news_15554.txt
琴瑟海妖,飛行系,17,6,11,48,43,,125,水4火6,攻擊、防禦,,,mlbb_news_15554.txt
紅魔,飛行系,33,39,15,18,15,,120,火10,攻擊、防禦,,,mlbb_news_15574.txt
地獄閻魔,飛行系,34,43,6,30,12,,125,火10,攻擊、防禦,,,mlbb_news_15574.txt
皮娜,人形系,40,45,10,20,10,,125,風10,攻擊、防禦,,,mlbb_news_15594.txt
琴瑟海妖,金屬系,17,6,11,48,43,,125,水4火6,攻擊、防禦,,,mlbb_news_15594.txt
海藍蝙蝠,飛行系,27,44,17,29,8,,125,地1水9,攻擊、防禦,,,mlbb_news_15594.txt
山隱仙靈,特殊系,21,10,13,37,44,,125,地10,攻擊、防禦,,,mlbb_news_15594.txt
潮汐仙靈,特殊系,21,10,37,13,44,,125,水10,攻擊、防禦,,,mlbb_news_15594.txt
焚炎仙靈,特殊系,37,10,13,21,44,,125,火10,攻擊、防禦,,,mlbb_news_15594.txt
風暴仙靈,特殊系,44,37,13,21,10,,125,風10,攻擊、防禦,,,mlbb_news_15594.txt
生日咩,野獸系,29,19,23,16,33,,120,風7地3,攻擊、防禦,,,mlbb_news_15634.txt
快樂咩,野獸系,28,13,20,19,45,,125,風9地1,攻擊、防禦,,,mlbb_news_15634.txt
賀歲鴨,飛行系,40,10,10,20,45,,125,火8風2,攻擊、防禦,,,mlbb_news_15634.txt
橘胖團團,植物系,26,39,24,18,18,,125,水2火8,攻擊、防禦,,,mlbb_news_15634.txt
24週年慶水龍蜥,龍系,42,6,11,17,49,,125,水8火2,攻擊、防禦,,,mlbb_news_15634.txt
24週年慶黃蜂,昆蟲系,17,6,11,49,42,,125,火8風2,攻擊、防禦,,,mlbb_news_15634.txt
24週年慶螳螂,昆蟲系,42,49,6,17,11,,125,風2地8,攻擊、防禦,,,mlbb_news_15634.txt
爆炎晶魚,金屬系,18,41,8,50,8,,125,火10,攻擊、防禦,,,mlbb_news_15634.txt
緋璇,植物系,40,47,4,30,4,,125,火10,攻擊、防禦,,,mlbb_news_15634.txt
小白鴨,飛行系,40,45,10,20,10,,125,水10,攻擊、防禦,,,mlbb_news_15634.txt
寶寶炸彈,特殊系,18,40,10,48,9,,125,水10,攻擊、防禦,,,mlbb_news_15634.txt
24週年慶大地鼠,野獸系,12,12,12,41,43,,120,風2地8,攻擊、防禦,,,mlbb_news_15634.txt
24週年慶噩夢鼠,野獸系,12,43,12,41,12,,120,水8火2,攻擊、防禦,,,mlbb_news_15634.txt
菲利克斯,人形系,15,7,7,50,46,,125,火10,攻擊、防禦,,,mlbb_news_15694.txt
星海魚人,飛行系,36,44,13,24,8,,125,水9火1,攻擊、防禦,,,mlbb_news_15694.txt
魚人狂戰士,金屬系,24,40,24,20,17,,125,火8風2,攻擊、防禦,,,mlbb_news_15694.txt
礦工寄居蟹,昆蟲系,22,17,22,19,43,,123,風3地7,攻擊、防禦,,,mlbb_news_15694.txt
德魯伊之鬼,不死系,16,12,23,22,47,,120,水10,攻擊、防禦,,,mlbb_news_15694.txt
幽紫妖靈,不死系,19,11,23,33,39,,125,水2火8,攻擊、防禦,,,mlbb_news_15694.txt
獅面女神,不死系,33,14,22,19,35,,123,地10,攻擊、防禦,,,mlbb_news_15694.txt
貓臉女神,不死系,42,37,12,18,14,,123,水10,攻擊、防禦,,,mlbb_news_15694.txt
貓隊長,不死系,35,42,17,19,10,,123,火10,攻擊、防禦,,,mlbb_news_15694.txt
惡夢貓,不死系,15,20,20,32,36,,123,風10,攻擊、防禦,,,mlbb_news_15694.txt
幽紫魔靈,不死系,15,10,17,37,46,,125,水2火8,攻擊、防禦,,,mlbb_news_15694.txt
德魯伊之魂,不死系,28,10,18,22,47,,125,水10,攻擊、防禦,,,mlbb_news_15694.txt
妖刀,金屬系,33,37,20,15,15,,125,火10,攻擊、防禦,,,mlbb_news_15704.txt
白焰,人形系,40,47,4,30,4,,125,風10,攻擊、防禦,,,mlbb_news_15704.txt
鬼眼村正,金屬系,33,46,12,23,11,,125,火10,攻擊、防禦,,,mlbb_news_15704.txt
德蘭多爾,人形系,34,45,10,26,10,,125,風10,攻擊、防禦,,,mlbb_news_15734.txt
瑟菲雅,人形系,30,8,13,29,45,,125,風10,攻擊、防禦,,,mlbb_news_15734.txt
愛情花妖,植物系,26,16,19,22,40,,123,火8風2,攻擊、防禦,,,mlbb_news_15734.txt
火焰舞動者,植物系,29,50,14,26,6,,125,水2火8,攻擊、防禦,,,mlbb_news_15734.txt
布卡,特殊系,25,21,16,35,26,,123,地8水2,攻擊、防禦,,,mlbb_news_15734.txt
寄生布卡,特殊系,25,16,21,26,35,,123,水8火2,攻擊、防禦,,,mlbb_news_15734.txt
樹精布卡,特殊系,25,26,21,35,16,,123,火8風2,攻擊、防禦,,,mlbb_news_15734.txt
戈魯姆,人形系,26,47,6,31,15,,125,地8水2,攻擊、防禦,,,mlbb_news_15734.txt
七夕水藍鼠,野獸系,27,47,22,21,8,,125,水10,攻擊、防禦,,,mlbb_news_15754.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_15764.txt
骷髏海盜王,不死系,36,43,10,25,11,,125,水10,攻擊、防禦,,,mlbb_news_15784.txt
中元腐屍,不死系,40,37,14,26,8,,125,風1地9,攻擊、防禦,,,mlbb_news_15784.txt
僵屍貝勒,不死系,24,15,15,24,42,,120,水2火8,攻擊、防禦,,,mlbb_news_15784.txt
僵屍王爺,不死系,28,8,16,23,50,,125,火10,攻擊、防禦,,,mlbb_news_15784.txt
魔女妮可,不死系,29,6,14,28,48,,125,風10,攻擊、防禦,,,mlbb_news_15784.txt
伯爵之棺,不死系,26,45,15,29,10,,125,火2風8,攻擊、防禦,,,mlbb_news_15784.txt
魔道死靈,不死系,37,8,14,19,47,,125,地8水2,攻擊、防禦,,,mlbb_news_15784.txt
魔法師之鬼,不死系,17,12,16,28,47,,120,地10,攻擊、防禦,,,mlbb_news_15784.txt
巫師之鬼,不死系,16,31,17,40,16,,120,風10,攻擊、防禦,,,mlbb_news_15784.txt
魔導師之魂,不死系,18,10,14,34,49,,125,地10,攻擊、防禦,,,mlbb_news_15784.txt
巫妖王之魂,不死系,26,31,14,44,10,,125,風10,攻擊、防禦,,,mlbb_news_15784.txt
魔紋幼龍,龍系,24,24,24,24,24,,120,地10,攻擊、防禦,,,mlbb_news_15804.txt
聖紋地龍,龍系,39,8,8,21,49,,125,地10,攻擊、防禦,,,mlbb_news_15804.txt
聖槍騎士,人形系,30,45,11,30,9,,125,風5地5,攻擊、防禦,,,mlbb_news_15804.txt
海洋使徒,特殊系,50,4,4,17,50,,125,水10,攻擊、防禦,,,mlbb_news_15874.txt
芽依,人形系,30,7,20,23,45,,125,水10,攻擊、防禦,,,mlbb_news_15874.txt
極奢鼠皇,野獸系,15,45,10,45,10,,125,地5水5,攻擊、防禦,,,mlbb_news_15874.txt
菲尼利特,飛行系,26,46,10,29,14,,125,火10,攻擊、防禦,,,mlbb_news_16004.txt
嫦娥仙子,飛行系,30,8,16,25,46,,125,火10,攻擊、防禦,,,mlbb_news_16004.txt
吳桂,人形系,35,39,25,16,10,,125,地10,攻擊、防禦,,,mlbb_news_16004.txt
蘿蔔兔,野獸系,33,40,18,21,13,,125,風8地2,攻擊、防禦,,,mlbb_news_16004.txt
地瓜兔,野獸系,30,14,14,17,50,,125,地8水2,攻擊、防禦,,,mlbb_news_16004.txt
白櫻麻薯兔兔,特殊系,42,45,12,20,6,,125,水10,攻擊、防禦,,,mlbb_news_16004.txt
黑醬麻薯兔兔,特殊系,42,6,12,20,45,,125,地10,攻擊、防禦,,,mlbb_news_16004.txt
雪見大福兔兔,特殊系,41,47,6,25,6,,125,水10,攻擊、防禦,,,mlbb_news_16004.txt
黑糖大福兔兔,特殊系,41,6,6,47,25,,125,地10,攻擊、防禦,,,mlbb_news_16004.txt
黃金樹靈,植物系,43,26,38,8,10,,125,風6地4,攻擊、防禦,,,mlbb_news_16004.txt
艾德奇美拉,飛行系,26,12,17,25,40,,120,水5火5,攻擊、防禦,,,mlbb_news_16044.txt
寒冰奇美拉,飛行系,33,8,8,49,27,,125,水5火5,攻擊、防禦,,,mlbb_news_16044.txt
綾香,人形系,43,40,8,26,8,,125,風10,攻擊、防禦,,,mlbb_news_16044.txt
魯恩卡爾,人形系,30,48,21,16,10,,125,火10,攻擊、防禦,,,mlbb_news_16064.txt
死亡狂蜂,昆蟲系,31,44,13,27,10,,125,水10,攻擊、防禦,,,mlbb_news_16064.txt
波卡加,特殊系,21,42,18,31,13,,125,地2水8,攻擊、防禦,,,mlbb_news_16064.txt
緣小鴨,飛行系,35,42,23,19,6,,125,地10,攻擊、防禦,,,mlbb_news_16064.txt
風之使徒,特殊系,50,4,4,50,17,,125,風10,攻擊、防禦,,,mlbb_news_16124.txt
白銀冥鬥士,不死系,32,44,26,17,6,,125,風10,攻擊、防禦,,,mlbb_news_16124.txt
欺詐小魅魔,不死系,21,11,13,36,44,,125,風8地2,攻擊、防禦,,,mlbb_news_16124.txt
萬聖食屍鬼,不死系,41,37,16,21,10,,125,火7風3,攻擊、防禦,,,mlbb_news_16124.txt
假面騎士,不死系,20,40,17,40,8,,125,地10,攻擊、防禦,,,mlbb_news_16124.txt
萬聖假面,不死系,35,10,16,19,45,,125,地9水1,攻擊、防禦,,,mlbb_news_16124.txt
強擊漂浮炸彈,特殊系,40,40,10,25,10,,125,風8地2,攻擊、防禦,,,mlbb_news_16144.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_16144.txt
紫金冥龍,金屬系,26,40,17,25,12,,120,風10,攻擊、防禦,,,mlbb_news_16164.txt
紫金暴龍王,金屬系,31,45,14,29,6,,125,水5風5,攻擊、防禦,,,mlbb_news_16164.txt
渡,人形系,25,10,15,26,49,,125,水10,攻擊、防禦,,,mlbb_news_16164.txt
銀龍騎士團古娜,不死系,39,40,8,25,13,,125,火10,攻擊、防禦,,,mlbb_news_16194.txt
玄武石巨像,金屬系,41,35,23,16,10,,125,地10,攻擊、防禦,,,mlbb_news_16194.txt
寒冰巨龍,龍系,29,45,21,24,6,,125,水10,攻擊、防禦,,,mlbb_news_16194.txt
大地巨龍,龍系,29,22,24,13,32,,120,地10,攻擊、防禦,,,mlbb_news_16194.txt
白銀騎士,人形系,45,32,15,27,6,,125,地10,攻擊、防禦,,,mlbb_news_16194.txt
百合少女,人形系,27,45,14,33,6,,125,風10,攻擊、防禦,,,mlbb_news_16194.txt
多足怪魚,金屬系,40,35,22,18,8,,123,火1風9,攻擊、防禦,,,mlbb_news_16194.txt
曜玉金鵷,飛行系,23,6,10,46,40,,125,火10,攻擊、防禦,,,mlbb_news_16194.txt
鸚鵡綠螺,植物系,31,10,26,15,38,,120,風2地8,攻擊、防禦,,,mlbb_news_16194.txt
帝國士兵菲爾,人形系,26,13,19,26,41,,125,火2風8,攻擊、防禦,,,mlbb_news_16194.txt
強擊漂浮炸彈,特殊系,40,40,10,25,10,,125,風8地2,攻擊、防禦,,,mlbb_news_16204.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_16204.txt
烏傑比,人形系,27,15,19,23,41,,125,水7火3,攻擊、防禦,,,mlbb_news_16224.txt
赤焰獨角獸,野獸系,33,7,22,20,43,,125,水1火9,攻擊、防禦,,,mlbb_news_16224.txt
紫泉蛙,野獸系,37,33,23,19,13,,125,地2水8,攻擊、防禦,,,mlbb_news_16224.txt
淺域龍神,龍系,45,45,4,27,4,,125,風10,攻擊、防禦,,,mlbb_news_16244.txt
弒殺螳螂,昆蟲系,31,50,10,21,13,,125,火10,攻擊、防禦,,,mlbb_news_16244.txt
海拉爾戰士,飛行系,40,40,10,25,10,,125,地3水7,攻擊、防禦,,,mlbb_news_16244.txt
蒼月聖鷹,飛行系,25,29,13,50,8,,125,風9地1,攻擊、防禦,,,mlbb_news_16244.txt
橘子公主,植物系,37,6,16,22,44,,125,火6風4,攻擊、防禦,,,mlbb_news_16244.txt
冰原獨角獸,野獸系,31,47,13,26,8,,125,水10,攻擊、防禦,,,mlbb_news_16244.txt
第16期亞軍寵,飛行系,15,45,10,45,10,,125,風5地5,攻擊、防禦,,,mlbb_news_16244.txt
第16期金怪,金屬系,40,40,10,25,10,,125,地10,攻擊、防禦,,,mlbb_news_16244.txt
劈哩君,不死系,26,40,21,27,11,,125,火10,攻擊、防禦,,,mlbb_news_16264.txt
劈哩醬,不死系,26,40,21,27,11,,125,火10,攻擊、防禦,,,mlbb_news_16264.txt
劈哩桑,不死系,26,40,21,27,11,,125,火10,攻擊、防禦,,,mlbb_news_16264.txt
劈哩大王,不死系,26,40,21,27,11,,125,火10,攻擊、防禦,,,mlbb_news_16264.txt
圍巾雪人,特殊系,20,40,20,25,15,,120,風3地7,攻擊、防禦,,,mlbb_news_16264.txt
冰冰雪人,特殊系,25,40,20,20,15,,120,地3水7,攻擊、防禦,,,mlbb_news_16264.txt
巫蛇妖姬,植物系,24,24,24,24,24,,120,風10,攻擊、防禦,,,mlbb_news_16284.txt
八重紫,植物系,36,6,6,27,50,,125,風10,攻擊、防禦,,,mlbb_news_16284.txt
冰魄龍骨,不死系,34,45,8,30,8,,125,水10,攻擊、防禦,,,mlbb_news_16284.txt
梅花喵,野獸系,34,43,15,21,12,,125,地10,攻擊、防禦,,,mlbb_news_16284.txt
極地雪人,特殊系,20,15,20,25,40,,120,水7火3,攻擊、防禦,,,mlbb_news_16284.txt
琉璃花妖王,植物系,41,6,15,17,46,,125,水6火4,攻擊、防禦,,,mlbb_news_16284.txt
火火兔,飛行系,33,47,15,24,6,,125,火10,攻擊、防禦,,,mlbb_news_16284.txt
聖誕節火雞,飛行系,24,15,18,25,43,,125,水1火9,攻擊、防禦,,,mlbb_news_16284.txt
聖誕節鴕雞,飛行系,17,39,19,37,13,,125,水2火8,攻擊、防禦,,,mlbb_news_16284.txt
幻紫飛龍,飛行系,24,34,24,24,14,,120,地8水2,攻擊、防禦,,,mlbb_news_16314.txt
紫獄龍王,飛行系,35,50,6,28,6,,125,地10,攻擊、防禦,,,mlbb_news_16314.txt
奔旦君,不死系,26,11,21,22,45,,125,地10,攻擊、防禦,,,mlbb_news_16344.txt
奔旦醬,不死系,26,11,21,22,45,,125,地10,攻擊、防禦,,,mlbb_news_16344.txt
奔旦桑,不死系,26,11,21,22,45,,125,地10,攻擊、防禦,,,mlbb_news_16344.txt
奔旦大王,不死系,26,11,21,22,45,,125,地10,攻擊、防禦,,,mlbb_news_16344.txt
改造聖誕水藍鼠,野獸系,45,40,13,20,7,,125,水10,攻擊、防禦,,,mlbb_news_16344.txt
改造糖果大地鼠,野獸系,30,10,13,26,46,,125,地10,攻擊、防禦,,,mlbb_news_16344.txt
改造馴鹿,野獸系,40,35,25,15,10,,125,水5火5,攻擊、防禦,,,mlbb_news_16344.txt
平安海葵,植物系,18,13,17,33,39,,120,水6火4,攻擊、防禦,,,mlbb_news_16344.txt
聖誕水藍鼠,野獸系,45,40,13,20,7,,125,水10,攻擊、防禦,,,mlbb_news_16344.txt
糖果大地鼠,野獸系,30,10,13,26,46,,125,地10,攻擊、防禦,,,mlbb_news_16344.txt
聖誕馴鹿,野獸系,38,25,35,15,10,,123,水5火5,攻擊、防禦,,,mlbb_news_16344.txt
月獅,野獸系,30,32,13,26,22,,123,風10,攻擊、防禦,,,mlbb_news_16344.txt
雪獅,野獸系,36,32,18,24,13,,123,水10,攻擊、防禦,,,mlbb_news_16344.txt
火柴小王子,特殊系,42,6,9,47,21,,125,火5風5,攻擊、防禦,,,mlbb_news_16344.txt
碧燄,特殊系,35,10,16,20,44,,125,地10,攻擊、防禦,,,mlbb_news_16344.txt
赤燄,特殊系,39,6,12,24,44,,125,火10,攻擊、防禦,,,mlbb_news_16344.txt
劍士里昂,人形系,37,50,4,30,4,,125,水10,攻擊、防禦,,,mlbb_news_16364.txt
戰斧帕里修斯,人形系,45,40,10,20,10,,125,火10,攻擊、防禦,,,mlbb_news_16364.txt
巫師耶克爾,人形系,44,7,7,22,45,,125,地10,攻擊、防禦,,,mlbb_news_16364.txt
魔術師艾夏菲,人形系,35,5,5,30,50,,125,風10,攻擊、防禦,,,mlbb_news_16364.txt
劍術大師里昂,人形系,37,50,4,30,4,,125,水10,攻擊、防禦,,,mlbb_news_16364.txt
戰斧大師帕里修斯,人形系,45,40,10,20,10,,125,火10,攻擊、防禦,,,mlbb_news_16364.txt
巫王耶克爾,人形系,44,7,7,22,45,,125,地10,攻擊、防禦,,,mlbb_news_16364.txt
大魔導師艾夏菲,人形系,35,5,5,30,50,,125,風10,攻擊、防禦,,,mlbb_news_16364.txt
亞紀子,人形系,30,6,13,30,46,,125,火10,攻擊、防禦,,,mlbb_news_16404.txt
方塊喵,野獸系,32,44,14,20,15,,125,火10,攻擊、防禦,,,mlbb_news_16404.txt
沐火碧睛獸,野獸系,42,42,18,16,7,,125,水1火9,攻擊、防禦,,,mlbb_news_16404.txt
艷陽鼠王,野獸系,30,6,11,28,50,,125,火5風5,攻擊、防禦,,,mlbb_news_16404.txt
繽紛水藍鼠,野獸系,32,6,13,24,50,,125,水10,攻擊、防禦,,,mlbb_news_16404.txt
多足怪魚,金屬系,40,35,22,18,8,,123,火1風9,攻擊、防禦,,,mlbb_news_16404.txt
赤金翼獅,金屬系,34,40,17,24,10,,125,火10,攻擊、防禦,,,mlbb_news_16444.txt
食夢貘,飛行系,31,44,13,27,10,,125,風9地1,攻擊、防禦,,,mlbb_news_16444.txt
黃金史萊姆,特殊系,35,7,7,48,28,,125,火1風9,攻擊、防禦,,,mlbb_news_16444.txt
岩柱,金屬系,29,35,27,10,19,,120,風7地3,攻擊、防禦,,,mlbb_news_16444.txt
紺青之棺,不死系,30,41,23,21,10,,125,地10,攻擊、防禦,,,mlbb_news_16444.txt
白銀巨像,金屬系,38,39,26,12,10,,125,火10,攻擊、防禦,,,mlbb_news_16444.txt
寶瓶妖靈,金屬系,35,6,19,21,44,,125,風3地7,攻擊、防禦,,,mlbb_news_16444.txt
伊莉絲,人形系,30,6,16,23,50,,125,火5風5,攻擊、防禦,,,mlbb_news_16444.txt
嗜血狂狼,金屬系,30,30,30,18,17,,125,火10,攻擊、防禦,,,mlbb_news_16484.txt
噬歲狼王,金屬系,45,40,9,25,6,,125,火5風5,攻擊、防禦,,,mlbb_news_16484.txt
春,人形系,33,38,24,20,10,,125,火6風4,攻擊、防禦,,,mlbb_news_16484.txt
魔女蕾亞,不死系,34,43,20,22,6,,125,地5水5,攻擊、防禦,,,mlbb_news_16494.txt
比特魔蝠,飛行系,28,10,13,35,39,,125,風3地7,攻擊、防禦,,,mlbb_news_16494.txt
月見紗,植物系,27,40,4,50,4,,125,水5火5,攻擊、防禦,,,mlbb_news_16524.txt
千夜,植物系,42,6,6,29,42,,125,水10,攻擊、防禦,,,mlbb_news_16524.txt
玄黎,植物系,28,39,4,50,4,,125,風5地5,攻擊、防禦,,,mlbb_news_16524.txt
緋璇,植物系,40,47,4,30,4,,125,火10,攻擊、防禦,,,mlbb_news_16524.txt
八重紫,植物系,36,6,6,27,50,,125,風10,攻擊、防禦,,,mlbb_news_16524.txt
大地元素使,特殊系,50,4,17,4,50,,125,地10,攻擊、防禦,,,mlbb_news_16524.txt
海洋元素使,特殊系,50,50,4,17,4,,125,水10,攻擊、防禦,,,mlbb_news_16524.txt
烈焰元素使,特殊系,17,50,4,50,4,,125,火10,攻擊、防禦,,,mlbb_news_16524.txt
天空元素使,特殊系,17,4,4,50,50,,125,風10,攻擊、防禦,,,mlbb_news_16524.txt
雷霆神獸,野獸系,15,44,12,48,6,,125,風10,攻擊、防禦,,,mlbb_news_16524.txt
噬魂毒蟹,金屬系,31,6,20,20,48,,125,地6水4,攻擊、防禦,,,mlbb_news_16524.txt
流星菇,植物系,24,7,13,32,49,,125,火4風6,攻擊、防禦,,,mlbb_news_16524.txt
裂空哥布林,人形系,35,43,15,24,8,,125,風7地3,攻擊、防禦,,,mlbb_news_16524.txt
行大運白虎王,特殊系,38,6,15,19,47,,125,火5風5,攻擊、防禦,,,mlbb_news_16524.txt
贏珍寶黑虎王,特殊系,18,42,15,44,6,,125,地1水9,攻擊、防禦,,,mlbb_news_16524.txt
赤血飛馬,飛行系,27,44,16,27,11,,125,水2火8,攻擊、防禦,,,mlbb_news_16554.txt
舞,金屬系,27,40,4,50,4,,125,地5火5,攻擊、防禦,,,mlbb_news_16554.txt
天叢雲舞,金屬系,27,40,4,50,4,,125,地5火5,攻擊、防禦,,,mlbb_news_16554.txt
露比,人形系,12,18,12,39,39,,120,水5火5,攻擊、防禦,,,mlbb_news_16554.txt
改造露比,人形系,20,6,17,40,42,,125,水5火5,攻擊、防禦,,,mlbb_news_16554.txt
小錦人馬,野獸系,36,32,33,10,12,,123,水2火8,攻擊、防禦,,,mlbb_news_16554.txt
冰原獨角獸,野獸系,31,47,13,26,8,,125,水10,攻擊、防禦,,,mlbb_news_16554.txt
改造冰原獨角獸,野獸系,33,47,13,26,6,,125,水10,攻擊、防禦,,,mlbb_news_16554.txt
改造布偶夏莉,飛行系,21,8,17,35,44,,125,風2地8,攻擊、防禦,,,mlbb_news_16554.txt
改造飛馬公主,飛行系,43,46,14,16,6,,125,風10,攻擊、防禦,,,mlbb_news_16554.txt
鞭炮靴怪,特殊系,32,10,24,15,42,,123,火7風3,攻擊、防禦,,,mlbb_news_16554.txt
爆蛋嚕嚕,特殊系,26,10,17,29,43,,125,火3風7,攻擊、防禦,,,mlbb_news_16554.txt
青墨海馬,龍系,26,9,13,33,42,,123,水2火8,攻擊、防禦,,,mlbb_news_16554.txt
噗栗君,不死系,29,45,25,15,11,,125,水10,攻擊、防禦,,,mlbb_news_16554.txt
噗栗醬,不死系,29,45,25,15,11,,125,水10,攻擊、防禦,,,mlbb_news_16554.txt
噗栗桑,不死系,29,45,25,15,11,,125,水10,攻擊、防禦,,,mlbb_news_16554.txt
噗栗大王,不死系,29,45,25,15,11,,125,水10,攻擊、防禦,,,mlbb_news_16554.txt
愛情氣球,特殊系,31,10,10,24,50,,125,水2火8,攻擊、防禦,,,mlbb_news_16564.txt
情人節鼠王,野獸系,37,40,11,31,6,,125,風10,攻擊、防禦,,,mlbb_news_16564.txt
愛情康乃馨,植物系,28,10,19,26,42,,125,火8風2,攻擊、防禦,,,mlbb_news_16564.txt
天使小熊,特殊系,14,47,16,42,6,,125,地8水2,攻擊、防禦,,,mlbb_news_16564.txt
愛情小熊,特殊系,43,32,20,24,6,,125,水8火2,攻擊、防禦,,,mlbb_news_16564.txt
戀愛小熊,特殊系,49,31,19,20,6,,125,火8風2,攻擊、防禦,,,mlbb_news_16564.txt
愛心小熊,特殊系,35,6,26,14,44,,125,風8地2,攻擊、防禦,,,mlbb_news_16564.txt
愛神丘比特,飛行系,16,12,15,40,42,,125,風10,攻擊、防禦,,,mlbb_news_16564.txt
熱砂之歐茲那克,人形系,43,40,10,16,16,,125,水10,攻擊、防禦,,,mlbb_news_16614.txt
殺龍之歐茲尼克,人形系,34,45,10,26,10,,125,火10,攻擊、防禦,,,mlbb_news_16614.txt
糯糯靴靈,特殊系,26,16,19,16,46,,123,水7火3,攻擊、防禦,,,mlbb_news_16614.txt
元宵巨神兵,人形系,39,42,13,25,6,,125,火10,攻擊、防禦,,,mlbb_news_16614.txt
元宵精靈,特殊系,23,6,11,38,47,,125,水8火2,攻擊、防禦,,,mlbb_news_16614.txt
強擊漂浮炸彈,特殊系,40,40,10,25,10,,125,風8地2,攻擊、防禦,,,mlbb_news_16634.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_16634.txt
雪,金屬系,50,40,4,27,4,,125,風10,攻擊、防禦,,,mlbb_news_16644.txt
天叢雲雪,金屬系,50,40,4,27,4,,125,風10,攻擊、防禦,,,mlbb_news_16644.txt
強擊漂浮炸彈,特殊系,40,40,10,25,10,,125,風8地2,攻擊、防禦,,,mlbb_news_16664.txt
伏葉妖精,人形系,28,39,16,25,12,,120,地7水3,攻擊、防禦,,,mlbb_news_16664.txt
梅利莎,人形系,30,9,11,27,48,,125,風10,攻擊、防禦,,,mlbb_news_16684.txt
異型火蜂,昆蟲系,32,45,10,28,10,,125,火10,攻擊、防禦,,,mlbb_news_16684.txt
蒼蠅王,飛行系,31,39,23,22,10,,125,地7水3,攻擊、防禦,,,mlbb_news_16684.txt
猩紅鬼靈,不死系,22,8,12,37,46,,125,火6風4,攻擊、防禦,,,mlbb_news_16684.txt
碧空海豚,飛行系,32,9,11,30,43,,125,地10,攻擊、防禦,,,mlbb_news_16684.txt
賽拉芬寶寶I,飛行系,25,12,12,25,35,,109,水10,攻擊、防禦,,,mlbb_news_16724.txt
賽拉芬寶寶II,飛行系,27,12,12,27,37,,115,水10,攻擊、防禦,,,mlbb_news_16724.txt
賽拉芬寶寶III,飛行系,29,12,12,29,39,,121,水10,攻擊、防禦,,,mlbb_news_16724.txt
賽拉芬寶寶IV,飛行系,30,12,12,30,40,,124,水10,攻擊、防禦,,,mlbb_news_16724.txt
巴力寶寶I,不死系,25,35,12,25,12,,109,風10,攻擊、防禦,,,mlbb_news_16724.txt
巴力寶寶II,不死系,27,37,12,27,12,,115,風10,攻擊、防禦,,,mlbb_news_16724.txt
巴力寶寶III,不死系,29,39,12,29,12,,121,風10,攻擊、防禦,,,mlbb_news_16724.txt
巴力寶寶IV,不死系,30,40,12,30,12,,124,風10,攻擊、防禦,,,mlbb_news_16724.txt
喵喵寶寶I,野獸系,25,35,25,12,12,,109,風10,攻擊、防禦,,,mlbb_news_16724.txt
喵喵寶寶II,野獸系,27,37,27,12,12,,115,風10,攻擊、防禦,,,mlbb_news_16724.txt
喵喵寶寶III,野獸系,29,39,29,12,12,,121,風10,攻擊、防禦,,,mlbb_news_16724.txt
喵喵寶寶IV,野獸系,30,40,30,12,12,,124,風10,攻擊、防禦,,,mlbb_news_16724.txt
貪慾牛魔,不死系,45,40,7,25,8,,125,火10,攻擊、防禦,,,mlbb_news_16724.txt
魔官遊獄石,金屬系,30,47,10,27,11,,125,地10,攻擊、防禦,,,mlbb_news_16724.txt
地底龍龜,野獸系,31,48,25,13,8,,125,地10,攻擊、防禦,,,mlbb_news_16724.txt
櫻花冰冷樹精,植物系,21,8,23,29,44,,125,水7火3,攻擊、防禦,,,mlbb_news_16724.txt
青尾豹,野獸系,30,43,20,24,8,,125,風9地1,攻擊、防禦,,,mlbb_news_16724.txt
